uid,svt,updated_millis,user_uid,baby_uid,type,start_millis,notes,group_uid,end_millis,pause_millis,duration,left_duration,right_duration,in_progress,side,pee,poo,hair_wash,temperature,volume,amount,amount_unit,reaction
cafljvvwsbHGPQUATHQVI20880063322,1652831861740,1652831861265,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,diaper_change,1652831860554,,,0,0,0,0,0,0,,1,0,0,0.0,0.0,0.0,,
T7031050348121158180841771551102,1652839143856,1652839143388,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,sleeping,1652833201504,,,1652837400000,0,4198496,0,0,0,,0,0,0,0.0,0.0,0.0,,
qnhwbIAEGXYEVYNOEISLKJWPDJI87548,1652837718599,1652837718042,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,bottle,1652837715454,,,0,0,0,0,0,0,,0,0,0,0.0,150.0,0.0,,
cgmHEVYJXGLQX0740643517171315428,1652839147712,1652839147264,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,diaper_change,1652839146195,,,0,0,0,0,0,0,,1,0,0,0.0,0.0,0.0,,
bYIN0670263632070121177464037214,1652862160952,1652862160260,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,sleeping,1652839150740,,,1652861520000,0,22369260,0,0,0,,0,0,0,0.0,0.0,0.0,,
yesDT223035165174173310836557431,1652841408179,1652841408042,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,pump,1652839443300,,,0,0,0,0,0,0,both,0,0,0,0.0,410.0,0.0,,
wtA57082711562175621084701547743,1652899365698,1652899365511,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,pump,1652869727846,,,0,0,0,0,0,0,both,0,0,0,0.0,390.0,0.0,,
cuameyggVDOBHJGB6574755026411206,1652871455216,1652871454768,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,tummy_time,1652870645285,,,1652871454768,0,809483,0,0,0,,0,0,0,0.0,0.0,0.0,,
lpgdnfexCXEDSUTQXQNOPJ2210356427,1652871645796,1652871645372,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,diaper_change,1652871644537,,,0,0,0,0,0,0,,1,0,0,0.0,0.0,0.0,,
ICT52352727626068188107112641314,1652871670893,1652871670466,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,bottle,1652871668626,,,0,0,0,0,0,0,,0,0,0,0.0,155.0,0.0,,
vaKQQVKIWKQGFBOBFVXHVASBAM026508,1652881718340,1652881717905,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,sleeping,1652873040000,,,1652881714117,0,8316702,0,0,0,,0,0,0,0.0,0.0,0.0,,
radbnifnfMQEYWUAIXJOFNSIYO132723,1652882937304,1652882936824,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,tummy_time,1652882333330,,,1652882936824,0,603494,0,0,0,,0,0,0,0.0,0.0,0.0,,
ijgjtthtecKKONTPCDN7124365624110,1652883208518,1652883206175,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,bottle,1652883204649,,,0,0,0,0,0,0,,0,0,0,0.0,150.0,0.0,,
ligcliloaWFWXYDBFJK6745042287333,1652883208518,1652883203932,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,diaper_change,1652883202661,,,0,0,0,0,0,0,,1,1,0,0.0,0.0,0.0,,
israiugcopETNPIG8154000660401558,1652891311388,1652891311323,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,sleeping,1652889485998,,,1652891311323,0,1825325,0,0,0,,0,0,0,0.0,0.0,0.0,,
dauqQUWVARKSLKVPLRRYBW6171384828,1652892824393,1652892823937,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,diaper_change,1652892823251,,,0,0,0,0,0,0,,1,0,0,0.0,0.0,0.0,,
